speed_ticks,speed,Kalman_gain,posterior_x_phi,omega_x,omega_y,omega_z,m_lean_angle_meas,m_lean_angle,bias,lean_rate,enc_counts_hand,enc_counts_fork,m_hand_angle,m_fork_angle,steer_rate,voltage_mtr_driver,m_lean_torque,sil_command,post_fork_pwm,post_hand_pwm,command_hand
0,0.00,0.00036,0.00273,0.00,-0.02,-0.01,0.00,0.00273,0.00,0.00173,3177,6065,-0.26527,-0.06889,0.00000,1.68,0.00,,16384,16468,-0.10
0,0.00,0.00036,0.00275,0.00,-0.01,-0.01,-0.00,0.00275,0.00,0.00322,3177,6065,-0.26527,-0.06889,0.00000,1.68,0.00,,16384,16468,-0.10
0,0.00,0.00037,0.00278,0.00,-0.00,-0.02,-0.00,0.00278,0.00,0.00018,3177,6065,-0.26527,-0.06889,0.00000,1.68,0.00,,16384,16468,-0.10
0,0.00,0.00037,0.00278,0.00,-0.01,-0.02,-0.00,0.00278,0.00,0.00354,3177,6065,-0.26527,-0.06889,0.00000,1.68,0.00,,16384,16468,-0.10
0,0.00,0.00038,0.00282,0.00,-0.01,-0.01,-0.00,0.00281,0.00,0.00299,3177,6065,-0.26527,-0.06889,0.00000,1.68,0.00,,16384,16468,-0.10
0,0.00,0.00038,0.00284,0.00,-0.01,-0.02,-0.00,0.00284,0.00,0.00346,3177,6065,-0.26527,-0.06889,0.00000,1.68,0.00,,16384,16468,-0.10
0,0.00,0.00039,0.00288,0.00,-0.01,-0.01,-0.00,0.00288,0.00,0.00091,3177,6065,-0.26527,-0.06889,0.00000,1.68,0.00,,16384,16468,-0.10
0,0.00,0.00039,0.00289,0.00,-0.02,-0.01,-0.00,0.00288,0.00,0.00478,3177,6065,-0.26527,-0.06889,0.00000,1.68,0.00,,16384,16468,-0.10
0,0.00,0.00040,0.00293,0.00,-0.01,-0.01,-0.00,0.00293,0.00,0.00235,3177,6065,-0.26527,-0.06889,0.00000,1.68,0.00,,16384,16468,-0.10
0,0.00,0.00040,0.00295,0.00,-0.02,-0.01,-0.00,0.00295,0.00,0.00478,3177,6065,-0.26527,-0.06889,0.00000,1.68,0.00,,16384,16468,-0.10
0,0.00,0.00041,0.00300,0.01,-0.01,-0.02,-0.00,0.00300,0.00,0.00608,3177,6065,-0.26527,-0.06889,0.00000,1.68,0.00,,16384,16468,-0.10
0,0.00,0.00041,0.00306,0.00,-0.01,-0.02,-0.00,0.00306,0.00,0.00435,3177,6065,-0.26527,-0.06889,0.00000,1.68,0.00,,16384,16468,-0.10
0,0.00,0.00042,0.00310,0.00,-0.01,-0.02,-0.00,0.00310,0.00,0.00486,3177,6065,-0.26527,-0.06889,0.00000,1.68,0.00,,16384,16468,-0.10
0,0.00,0.00042,0.00315,0.01,-0.02,-0.02,-0.00,0.00315,0.00,0.00626,3177,6065,-0.26527,-0.06889,0.00000,1.68,0.00,,16384,16468,-0.10
0,0.00,0.00043,0.00321,0.00,-0.02,-0.01,-0.00,0.00321,0.00,0.00239,3177,6065,-0.26527,-0.06889,0.00000,1.68,0.00,,16384,16468,-0.10
0,0.00,0.00043,0.00323,0.01,-0.01,-0.02,-0.00,0.00323,0.00,0.00611,3177,6065,-0.26527,-0.06889,0.00000,1.68,0.00,,16384,16468,-0.10
0,0.00,0.00044,0.00329,0.01,-0.02,-0.01,0.00,0.00329,0.00,0.00537,3177,6065,-0.26527,-0.06889,0.00000,1.68,0.00,,16384,16468,-0.10
0,0.00,0.00044,0.00335,0.01,-0.02,-0.01,-0.00,0.00334,0.00,0.00591,3177,6065,-0.26527,-0.06889,0.00000,1.68,0.00,,16384,16468,-0.10
0,0.00,0.00045,0.00340,0.01,-0.01,-0.01,-0.00,0.00340,0.00,0.00564,3177,6065,-0.26527,-0.06889,0.00000,1.68,0.00,,16384,16468,-0.10
0,0.00,0.00045,0.00346,0.00,-0.01,-0.02,-0.00,0.00346,0.00,0.00478,3177,6065,-0.26527,-0.06889,0.00000,1.68,0.00,,16384,16468,-0.10
0,0.00,0.00046,0.00350,0.00,-0.01,-0.01,-0.00,0.00350,0.00,0.00436,3177,6065,-0.26527,-0.06889,0.00000,1.68,0.00,,16384,16468,-0.10
0,0.00,0.00046,0.00355,0.01,-0.01,-0.01,-0.00,0.00354,0.00,0.00636,3177,6065,-0.26527,-0.06889,0.00000,1.68,0.00,,16384,16468,-0.10
0,0.00,0.00047,0.00361,0.00,-0.01,-0.02,-0.00,0.00361,0.00,0.00376,3177,6065,-0.26527,-0.06889,0.00000,1.68,0.00,,16384,16468,-0.10
0,0.00,0.00047,0.00364,0.01,-0.02,-0.01,-0.00,0.00364,0.00,0.00587,3177,6065,-0.26527,-0.06889,0.00000,1.68,0.00,,16384,16468,-0.10
0,0.00,0.00048,0.00370,0.00,-0.01,-0.01,-0.00,0.00370,0.00,0.00365,3177,6065,-0.26527,-0.06889,0.00000,1.68,0.00,,16384,16468,-0.10
0,0.00,0.00048,0.00373,0.01,-0.02,-0.02,-0.00,0.00373,0.00,0.00842,3177,6065,-0.26527,-0.06889,0.00000,1.68,0.00,,16384,16468,-0.10
0,0.00,0.00049,0.00382,0.00,-0.01,-0.01,-0.00,0.00382,0.00,0.00470,3177,6065,-0.26527,-0.06889,0.00000,1.68,0.00,,16384,16468,-0.10
0,0.00,0.00049,0.00386,0.00,-0.02,-0.02,-0.00,0.00386,0.00,0.00301,3177,6065,-0.26527,-0.06889,0.00000,1.68,0.00,,16384,16468,-0.10
0,0.00,0.00049,0.00389,0.00,-0.01,-0.02,-0.00,0.00389,0.00,0.00388,3177,6065,-0.26527,-0.06889,0.00000,1.68,0.00,,16384,16468,-0.10
0,0.00,0.00050,0.00393,0.00,-0.02,-0.02,-0.00,0.00393,0.00,0.00419,3177,6065,-0.26527,-0.06889,0.00000,1.68,0.00,,16384,16552,-0.20
0,0.00,0.00050,0.00397,0.01,-0.02,-0.01,0.00,0.00396,0.00,0.00508,3177,6065,-0.26527,-0.06889,0.00000,1.68,0.00,,16384,16552,-0.20
0,0.00,0.00051,0.00402,0.01,-0.02,-0.02,-0.00,0.00401,0.00,0.00513,3177,6065,-0.26527,-0.06889,0.00000,1.69,0.00,,16384,16552,-0.20
0,0.00,0.00051,0.00406,0.01,-0.02,-0.01,0.00,0.00406,0.00,0.00916,3177,6065,-0.26527,-0.06889,0.00000,1.69,0.00,,16384,16552,-0.20
0,0.00,0.00052,0.00415,0.00,-0.02,-0.01,-0.00,0.00415,0.00,0.00364,3177,6065,-0.26527,-0.06889,0.00000,1.69,0.00,,16384,16552,-0.20
0,0.00,0.00052,0.00419,0.01,-0.01,-0.01,-0.00,0.00419,0.00,0.00640,3177,6065,-0.26527,-0.06889,0.00000,1.69,0.00,,16384,16552,-0.20
0,0.00,0.00053,0.00425,0.00,-0.01,-0.01,-0.00,0.00425,0.00,0.00049,3177,6065,-0.26527,-0.06889,0.00000,1.69,0.00,,16384,16552,-0.20
0,0.00,0.00053,0.00425,0.00,-0.01,-0.01,0.00,0.00425,0.00,0.00445,3177,6065,-0.26527,-0.06889,0.00000,1.69,0.00,,16384,16552,-0.20
0,0.00,0.00054,0.00430,0.01,-0.01,-0.01,-0.00,0.00429,0.00,0.00514,3177,6065,-0.26527,-0.06889,0.00000,1.68,0.00,,16384,16552,-0.20
0,0.00,0.00054,0.00434,0.00,-0.01,-0.02,-0.00,0.00434,0.00,0.00232,3177,6065,-0.26527,-0.06889,0.00000,1.69,0.00,,16384,16552,-0.20
