speed_ticks,speed,Kalman_gain,posterior_x_phi,omega_x,omega_y,omega_z,m_lean_angle_meas,m_lean_angle,bias,lean_rate,enc_counts_hand,enc_counts_fork,m_hand_angle,m_fork_angle,steer_rate,voltage_mtr_driver,m_hand_torque,m_lean_torque,sil_command,post_fork_pwm,post_hand_pwm,command_fork,command_hand
0,0.00,0.00040,-0.00022,-0.00,-0.02,-0.01,-0.00,-0.00022,-0.00,-0.00153,3379,6851,-0.11034,-0.67174,0.00000,1.67742,0.10565,812,,16384,16384,0.00,0.00
0,0.00,0.00040,-0.00023,-0.00,-0.01,-0.01,-0.00,-0.00023,-0.00,-0.00059,3379,6851,-0.11034,-0.67174,0.00000,1.68065,0.15601,812,,16384,16384,0.00,0.00
0,0.00,0.00041,-0.00024,-0.00,-0.02,-0.01,-0.00,-0.00024,-0.00,-0.00192,3379,6851,-0.11034,-0.67174,0.00000,1.68065,0.15601,813,,16384,16384,0.00,0.00
0,0.00,0.00041,-0.00026,-0.00,-0.02,-0.01,-0.00,-0.00026,-0.00,-0.00055,3379,6851,-0.11034,-0.67174,0.00000,1.68065,0.15601,813,,16384,16384,0.00,0.00
0,0.00,0.00042,-0.00026,-0.00,-0.01,-0.01,-0.00,-0.00026,-0.00,-0.00059,3379,6851,-0.11034,-0.67174,0.00000,1.68065,0.15601,812,,16384,16384,0.00,0.00
0,0.00,0.00042,-0.00027,0.00,-0.02,-0.01,-0.00,-0.00027,-0.00,0.00043,3379,6851,-0.11034,-0.67174,0.00000,1.68065,0.15601,813,,16384,16384,0.00,0.00
0,0.00,0.00043,-0.00027,0.00,-0.01,-0.01,-0.00,-0.00027,-0.00,0.00259,3379,6851,-0.11034,-0.67174,0.00000,1.67742,0.10565,812,,16384,16384,0.00,0.00
0,0.00,0.00043,-0.00024,0.00,-0.01,-0.01,-0.00,-0.00024,-0.00,0.00130,3379,6851,-0.11034,-0.67174,0.00000,1.68065,0.15601,813,,16384,16384,0.00,0.00
0,0.00,0.00044,-0.00023,-0.00,-0.02,-0.01,-0.00,-0.00023,-0.00,-0.00161,3379,6851,-0.11034,-0.67174,0.00000,1.68065,0.15601,813,,16384,16384,0.00,0.00
0,0.00,0.00044,-0.00024,0.00,-0.02,-0.01,-0.00,-0.00024,-0.00,0.00055,3379,6851,-0.11034,-0.67174,0.00000,1.69032,0.30708,811,,16384,16384,0.00,0.00
0,0.00,0.00045,-0.00024,0.00,-0.01,-0.01,-0.00,-0.00024,-0.00,0.00145,3379,6851,-0.11034,-0.67174,0.00000,1.67742,0.10565,812,,16384,16384,0.00,0.00
0,0.00,0.00045,-0.00022,-0.00,-0.02,-0.01,0.00,-0.00022,-0.00,-0.00313,3379,6851,-0.11034,-0.67174,0.00000,1.68065,0.15601,813,,16384,16384,0.00,0.00
0,0.00,0.00046,-0.00025,0.00,-0.02,-0.01,-0.00,-0.00025,-0.00,0.00047,3379,6851,-0.11034,-0.67174,0.00000,1.68065,0.15601,815,,16384,16384,0.00,0.00
0,0.00,0.00046,-0.00025,0.00,-0.01,-0.01,-0.00,-0.00025,-0.00,0.00047,3379,6851,-0.11034,-0.67174,0.00000,1.68065,0.15601,822,,16384,16384,0.00,0.00
0,0.00,0.00047,-0.00024,-0.00,-0.02,-0.02,-0.00,-0.00024,-0.00,-0.00224,3379,6851,-0.11034,-0.67174,0.00000,1.68065,0.15601,812,,16384,16384,0.00,0.00
0,0.00,0.00047,-0.00027,-0.00,-0.02,-0.01,-0.00,-0.00027,-0.00,-0.00180,3379,6851,-0.11034,-0.67174,0.00000,1.68065,0.15601,812,,16384,16384,0.00,0.00
0,0.00,0.00048,-0.00028,-0.00,-0.02,-0.01,-0.00,-0.00028,-0.00,-0.00255,3379,6851,-0.11034,-0.67174,0.00000,1.68065,0.15601,813,,16384,16384,0.00,0.00
0,0.00,0.00048,-0.00031,-0.00,-0.02,-0.01,-0.00,-0.00031,-0.00,-0.00078,3379,6851,-0.11034,-0.67174,0.00000,1.68387,0.20637,814,,16384,16384,0.00,0.00
0,0.00,0.00049,-0.00032,-0.00,-0.02,-0.01,-0.00,-0.00032,-0.00,-0.00361,3379,6851,-0.11034,-0.67174,0.00000,1.68065,0.15601,816,,16384,16384,0.00,0.00
0,0.00,0.00049,-0.00035,-0.00,-0.02,-0.01,-0.00,-0.00035,-0.00,-0.00043,3379,6851,-0.11034,-0.67174,0.00000,1.68065,0.15601,812,,16384,16384,0.00,0.00
0,0.00,0.00049,-0.00036,-0.00,-0.02,-0.01,-0.00,-0.00036,-0.00,-0.00286,3379,6851,-0.11034,-0.67174,0.00000,1.68065,0.15601,811,,16384,16384,0.00,0.00
0,0.00,0.00050,-0.00039,0.00,-0.01,-0.01,-0.00,-0.00039,-0.00,0.00047,3379,6851,-0.11034,-0.67174,0.00000,1.68065,0.15601,813,,16384,16384,0.00,0.00
0,0.00,0.00050,-0.00038,0.00,-0.02,-0.01,-0.00,-0.00038,-0.00,0.00051,3379,6851,-0.11034,-0.67174,0.00000,1.68065,0.15601,815,,16384,16384,0.00,0.00
0,0.00,0.00051,-0.00038,-0.00,-0.01,-0.01,-0.00,-0.00038,-0.00,-0.00078,3379,6851,-0.11034,-0.67174,0.00000,1.68065,0.15601,815,,16384,16384,0.00,0.00
0,0.00,0.00051,-0.00038,-0.00,-0.02,-0.02,-0.00,-0.00038,-0.00,-0.00039,3379,6851,-0.11034,-0.67174,0.00000,1.68065,0.15601,814,,16384,16384,0.00,0.00
0,0.00,0.00052,-0.00039,0.00,-0.02,-0.01,-0.00,-0.00039,-0.00,0.00078,3379,6851,-0.11034,-0.67174,0.00000,1.68065,0.15601,814,,16384,16384,0.00,0.00
0,0.00,0.00052,-0.00038,-0.00,-0.02,-0.01,-0.00,-0.00038,-0.00,-0.00059,3379,6851,-0.11034,-0.67174,0.00000,1.68065,0.15601,815,,16384,16384,0.00,0.00
