speed_ticks,speed,Kalman_gain,posterior_x_phi,omega_x,omega_y,omega_z,m_lean_angle_meas,m_lean_angle,bias,lean_rate,enc_counts_hand,enc_counts_fork,m_hand_angle,m_fork_angle,steer_rate,sil_command,post_fork_pwm,post_hand_pwm
1,0.01,0.00056,0.04378,-0.00576,-0.02,-0.02,-0.03,0.04,0.00,-0.00577,3085,5998,-0.35,-0.10,0.00,,16731,16540
1,0.01,0.00056,0.04368,-0.00564,-0.02,-0.02,-0.01,0.04,0.00,-0.00566,3085,5998,-0.35,-0.10,0.00,,16731,16540
1,0.01,0.00057,0.04360,-0.00466,-0.02,-0.02,-0.02,0.04,0.00,-0.00468,3085,5998,-0.35,-0.10,0.00,,16731,16540
1,0.01,0.00057,0.04351,-0.01109,-0.02,-0.02,-0.02,0.04,0.00,-0.01110,3085,5998,-0.35,-0.10,0.00,,16731,16540
1,0.01,0.00058,0.04336,-0.00858,-0.02,-0.02,-0.01,0.04,0.00,-0.00860,3085,5998,-0.35,-0.10,0.00,,16731,16540
1,0.01,0.00058,0.04325,-0.00741,-0.02,-0.02,-0.01,0.04,0.00,-0.00742,3085,5998,-0.35,-0.10,0.00,,16731,16540
1,0.01,0.00059,0.04314,-0.00651,-0.02,-0.02,-0.00,0.04,0.00,-0.00652,3085,5998,-0.35,-0.10,0.00,,16731,16540
1,0.01,0.00059,0.04305,-0.01014,-0.01,-0.02,-0.03,0.04,0.00,-0.01016,3085,5998,-0.35,-0.10,0.00,,16731,16540
1,0.01,0.00060,0.04291,-0.01117,-0.02,-0.01,-0.02,0.04,0.00,-0.01118,3085,5998,-0.35,-0.10,0.00,,16731,16540
1,0.01,0.00060,0.04276,-0.00889,-0.02,-0.02,-0.02,0.04,0.00,-0.00891,3085,5998,-0.35,-0.10,0.00,,16731,16540
1,0.01,0.00061,0.04264,-0.01057,-0.02,-0.01,-0.05,0.04,0.00,-0.01059,3085,5998,-0.35,-0.10,0.00,,16731,16540
1,0.01,0.00061,0.04247,-0.00991,-0.02,-0.02,-0.02,0.04,0.00,-0.00993,3085,5998,-0.35,-0.10,0.00,,16731,16540
1,0.01,0.00062,0.04234,-0.01132,-0.02,-0.01,-0.03,0.04,0.00,-0.01134,3085,5998,-0.35,-0.10,0.00,,16731,16540
1,0.01,0.00062,0.04218,-0.01038,-0.02,-0.01,-0.04,0.04,0.00,-0.01040,3085,5998,-0.35,-0.10,0.00,,16731,16540
1,0.01,0.00062,0.04202,-0.00697,-0.02,-0.01,-0.03,0.04,0.00,-0.00699,3085,5998,-0.35,-0.10,0.00,,16731,16540
1,0.01,0.00063,0.04191,-0.00663,-0.02,-0.02,-0.00,0.04,0.00,-0.00665,3085,5998,-0.35,-0.10,0.00,,16731,16540
1,0.01,0.00063,0.04182,-0.00619,-0.02,-0.01,-0.04,0.04,0.00,-0.00621,3085,5998,-0.35,-0.10,0.00,,16731,16540
1,0.01,0.00064,0.04170,-0.00474,-0.02,-0.01,-0.02,0.04,0.00,-0.00476,3085,5998,-0.35,-0.10,0.00,,16731,16540
1,0.01,0.00064,0.04161,-0.00341,-0.02,-0.02,-0.01,0.04,0.00,-0.00343,3085,5998,-0.35,-0.10,0.00,,16731,16540
1,0.01,0.00065,0.04154,-0.00509,-0.02,-0.01,-0.04,0.04,0.00,-0.00511,3085,5998,-0.35,-0.10,0.00,,16731,16540
1,0.01,0.00065,0.04144,-0.00195,-0.01,-0.01,-0.04,0.04,0.00,-0.00197,3085,5998,-0.35,-0.10,0.00,,16731,16540
1,0.01,0.00066,0.04137,-0.00239,-0.02,-0.02,-0.02,0.04,0.00,-0.00241,3085,5998,-0.35,-0.10,0.00,,16731,16540
1,0.01,0.00066,0.04131,0.00203,-0.02,-0.02,-0.01,0.04,0.00,0.00201,3085,5998,-0.35,-0.10,0.00,,16731,16540
1,0.01,0.00067,0.04129,0.00344,-0.02,-0.02,-0.01,0.04,0.00,0.00342,3085,5998,-0.35,-0.10,0.00,,16731,16540
1,0.01,0.00067,0.04129,0.00736,-0.02,-0.02,-0.01,0.04,0.00,0.00733,3085,5998,-0.35,-0.10,0.00,,16731,16540
1,0.01,0.00068,0.04133,0.00611,-0.01,-0.02,-0.02,0.04,0.00,0.00609,3085,5998,-0.35,-0.10,0.00,,16731,16540
1,0.01,0.00068,0.04135,0.01124,-0.02,-0.01,-0.01,0.04,0.00,0.01121,3085,5998,-0.35,-0.10,0.00,,16731,16540
1,0.01,0.00069,0.04143,0.00772,-0.02,-0.01,-0.04,0.04,0.00,0.00769,3085,5998,-0.35,-0.10,0.00,,16731,16540
1,0.01,0.00069,0.04145,0.01034,-0.01,-0.02,-0.02,0.04,0.00,0.01031,3085,5998,-0.35,-0.10,0.00,,16731,16540
1,0.01,0.00070,0.04151,0.01289,-0.02,-0.01,-0.05,0.04,0.00,0.01286,3085,5998,-0.35,-0.10,0.00,,16731,16540
1,0.01,0.00070,0.04157,0.01387,-0.01,-0.01,-0.05,0.04,0.00,0.01384,3085,5998,-0.35,-0.10,0.00,,16731,16540
1,0.01,0.00071,0.04164,0.01705,-0.01,-0.01,0.05,0.04,0.00,0.01702,3085,5998,-0.35,-0.10,0.00,,16731,16540
1,0.01,0.00071,0.04182,0.01931,-0.02,-0.01,0.00,0.04,0.00,0.01928,3085,5998,-0.35,-0.10,0.00,,16731,16540
1,0.01,0.00071,0.04198,0.02108,-0.02,-0.01,0.03,0.04,0.00,0.02105,3085,5998,-0.35,-0.10,0.00,,16731,16540
1,0.01,0.00072,0.04218,0.01908,-0.02,-0.01,0.03,0.04,0.00,0.01905,3085,5998,-0.35,-0.10,0.00,,16731,16540
1,0.01,0.00072,0.04237,0.02052,-0.02,-0.01,0.04,0.04,0.00,0.02049,3085,5998,-0.35,-0.10,0.00,,16731,16540
1,0.01,0.00073,0.04257,0.02177,-0.02,-0.01,-0.01,0.04,0.00,0.02174,3085,5998,-0.35,-0.10,0.00,,16731,16540
1,0.01,0.00073,0.04275,0.02499,-0.02,-0.01,-0.03,0.04,0.00,0.02496,3085,5998,-0.35,-0.10,0.00,,16731,16540
1,0.01,0.00074,0.04294,0.02428,-0.02,-0.01,-0.01,0.04,0.00,0.02425,3085,5998,-0.35,-0.10,0.00,,16731,16540
1,0.01,0.00074,0.04315,0.02417,-0.02,-0.02,-0.02,0.04,0.00,0.02414,3085,5998,-0.35,-0.10,0.00,,16731,16540
1,0.01,0.00075,0.04334,0.02440,-0.02,-0.02,-0.01,0.04,0.00,0.02436,3085,5998,-0.35,-0.10,0.00,,16731,16540
1,0.01,0.00075,0.04354,0.02420,-0.02,-0.01,-0.02,0.04,0.00,0.02417,3085,5998,-0.35,-0.10,0.00,,16731,16540
1,0.01,0.00076,0.04374,0.02519,-0.02,-0.01,-0.02,0.04,0.00,0.02515,3085,5998,-0.35,-0.10,0.00,,16731,16540
1,0.01,0.00076,0.04394,0.02432,-0.02,-0.01,0.01,0.04,0.00,0.02428,3085,5998,-0.35,-0.10,0.00,,16731,16540
1,0.01,0.00077,0.04415,0.02295,-0.02,-0.01,-0.01,0.04,0.00,0.02291,3085,5998,-0.35,-0.10,0.00,,16731,16540
1,0.01,0.00077,0.04435,0.02495,-0.02,-0.01,-0.03,0.04,0.00,0.02491,3085,5998,-0.35,-0.10,0.00,,16731,16540
1,0.01,0.00078,0.04454,0.02088,-0.02,-0.01,0.03,0.04,0.00,0.02085,3085,5998,-0.35,-0.10,0.00,,16731,16540
1,0.01,0.00078,0.04473,0.02025,-0.02,-0.01,0.04,0.04,0.00,0.02022,3085,5998,-0.35,-0.10,0.00,,16731,16540
1,0.01,0.00078,0.04494,0.02374,-0.02,-0.01,-0.06,0.04,0.00,0.02370,3085,5998,-0.35,-0.10,0.00,,16731,16540
1,0.01,0.00079,0.04509,0.01841,-0.02,-0.01,-0.05,0.05,0.00,0.01837,3085,5998,-0.35,-0.10,0.00,,16731,16540
1,0.01,0.00079,0.04521,0.01864,-0.02,-0.01,-0.02,0.05,0.00,0.01860,3085,5998,-0.35,-0.10,0.00,,16731,16540
1,0.01,0.00080,0.04534,0.01758,-0.02,-0.01,-0.02,0.05,0.00,0.01754,3085,5998,-0.35,-0.10,0.00,,16731,16540
1,0.01,0.00080,0.04546,0.01762,-0.02,-0.01,-0.03,0.05,0.00,0.01758,3085,5998,-0.35,-0.10,0.00,,16731,16540
1,0.01,0.00081,0.04558,0.01938,-0.02,-0.02,-0.01,0.05,0.00,0.01934,3085,5998,-0.35,-0.10,0.00,,16731,16540
1,0.01,0.00081,0.04573,0.01575,-0.01,-0.02,-0.03,0.05,0.00,0.01570,3085,5998,-0.35,-0.10,0.00,,16731,16540
1,0.01,0.00082,0.04583,0.01508,-0.02,-0.02,-0.01,0.05,0.00,0.01503,3085,5998,-0.35,-0.10,0.00,,16731,16540
1,0.01,0.00082,0.04593,0.01578,-0.02,-0.02,-0.02,0.05,0.00,0.01574,3085,5998,-0.35,-0.10,0.00,,16731,16540
1,0.01,0.00083,0.04603,0.01480,-0.02,-0.02,-0.01,0.05,0.00,0.01476,3085,5998,-0.35,-0.10,0.00,,16731,16540
1,0.01,0.00083,0.04613,0.01089,-0.02,-0.01,-0.05,0.05,0.00,0.01084,3085,5998,-0.35,-0.10,0.00,,16731,16540
1,0.01,0.00084,0.04616,0.01242,-0.02,-0.02,-0.03,0.05,0.00,0.01237,3085,5998,-0.35,-0.10,0.00,,16731,16540
1,0.01,0.00084,0.04622,0.00815,-0.02,-0.01,-0.02,0.05,0.00,0.00810,3085,5998,-0.35,-0.10,0.00,,16731,16540
1,0.01,0.00084,0.04624,0.00847,-0.01,-0.01,0.06,0.05,0.00,0.00842,3085,5998,-0.35,-0.10,0.00,,16731,16540
1,0.01,0.00085,0.04634,0.00462,-0.02,-0.01,-0.04,0.05,0.00,0.00457,3085,5998,-0.35,-0.10,0.00,,16731,16540
1,0.01,0.00085,0.04631,0.00870,-0.01,-0.01,-0.05,0.05,0.00,0.00865,3085,5998,-0.35,-0.10,0.00,,16731,16540
1,0.01,0.00086,0.04631,0.00701,-0.02,-0.01,-0.01,0.05,0.00,0.00695,3085,5998,-0.35,-0.10,0.00,,16731,16540
