raw_hand_torque,transducer_byte,sil_command,speed,lean_angle,lean_rate,hand_angle,fork_angle,fork_rate,lean_torque,hand_torque,command_fork,command_hand
,819,,0.00000,0.01279,0.00995,-0.66794,-0.63492,0.00000,0.00000,0.00000,-0.25405,-0.02432
,810,,0.00000,0.01287,0.01104,-0.66794,-0.63492,0.00000,0.00000,0.00000,-0.25405,-0.02432
,819,,0.00000,0.01297,0.00991,-0.66794,-0.63492,0.00000,0.00000,0.00000,-0.25405,-0.02432
,818,,0.00000,0.01306,0.00689,-0.66794,-0.63492,0.00000,0.00000,0.00000,-0.25405,-0.02432
,819,,0.00000,0.01311,0.01092,-0.66794,-0.63492,0.00000,0.00000,0.00000,-0.25405,-0.02432
,819,,0.00000,0.01321,0.00635,-0.66794,-0.63492,0.00000,0.00000,0.00000,-0.25405,-0.02432
,820,,0.00000,0.01325,0.01073,-0.66794,-0.63492,0.00000,0.00000,0.00000,-0.25405,-0.02432
,820,,0.00000,0.01335,0.00873,-0.66794,-0.63492,0.00000,0.00000,0.00000,-0.25405,-0.02432
,818,,0.00000,0.01342,0.00979,-0.66794,-0.63492,0.00000,0.00000,0.00000,-0.25405,-0.02432
,818,,0.00000,0.01350,0.00791,-0.66794,-0.63492,0.00000,0.00000,0.00000,-0.25405,-0.02432
,819,,0.00000,0.01357,0.00865,-0.66794,-0.63492,0.00000,0.00000,0.00000,-0.25405,-0.02432
,819,,0.00000,0.01364,0.00587,-0.66794,-0.63492,0.00000,0.00000,0.00000,-0.25405,-0.02432
,819,,0.00000,0.01369,0.00779,-0.66794,-0.63492,0.00000,0.00000,0.00000,-0.25405,-0.02432
,820,,0.00000,0.01375,0.00689,-0.66794,-0.63492,0.00000,0.00000,0.00000,-0.25405,-0.02432
,819,,0.00000,0.01380,0.00893,-0.66794,-0.63492,0.00000,0.00000,0.00000,-0.25405,-0.02432
,819,,0.00000,0.01388,0.00798,-0.66794,-0.63492,0.00000,0.00000,0.00000,-0.25405,-0.02432
,818,,0.00000,0.01394,0.01179,-0.66794,-0.63492,0.00000,0.00000,0.00000,-0.25405,-0.02432
